reactant_a,reactant_b,combination_type,primary_product_formula,primary_product_name,balanced_equation,state_at_stp,conditions,facts,common_misconception,confidence
H,He,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Helium is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
H,Li,ionic_compound,LiH,Lithium hydride,2 Li(s) + H2(g) -> 2 LiH(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,medium
H,Be,ionic_compound,BeH2,Beryllium hydride,Be(s) + H2(g) -> BeH2(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,medium
H,B,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,C,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,N,multiple_possible,NH3,Ammonia,N2(g) + 3 H2(g) -> 2 NH3(g),gas,Industrial Haber process (high pressure catalyst),Basic gas; key fertilizer precursor,Ammonia does not form just by mixing at room temperature,high
H,O,multiple_possible,H2O,Water,2 H2(g) + O2(g) -> 2 H2O(l),liquid,Needs ignition/energy; explosive mixture,Stable oxide of hydrogen; polar; excellent solvent,H2O2 exists but is not the default product from simply mixing gases,high
H,F,covalent_compound,HF,Hydrogen fluoride,H2(g) + F2(g) -> 2 HF(g),gas,Very reactive; hazardous,Forms hydrofluoric acid in water; attacks glass,HF is dangerous even though called a weak acid in water,high
H,Ne,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Neon is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
H,Na,ionic_compound,NaH,Sodium hydride,2 Na(s) + H2(g) -> 2 NaH(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,medium
H,Mg,ionic_compound,MgH2,Magnesium hydride,Mg(s) + H2(g) -> MgH2(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,medium
H,Al,ionic_compound,AlH3,Aluminium hydride,2 Al(s) + 3 H2(g) -> 2 AlH3(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,medium
H,Si,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,P,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,S,covalent_compound,H2S,Hydrogen sulfide,H2(g) + S(s) -> H2S(g),gas,Heat,Toxic gas with rotten-egg smell; weak acid in water,H2S is different from SO2; both smell unpleasant,high
H,Cl,covalent_compound,HCl,Hydrogen chloride,H2(g) + Cl2(g) -> 2 HCl(g),gas,UV light/ignition; forms acid in water,Dissolves to give hydrochloric acid,The formula is HCl; coefficients go in the balanced equation,high
